time	3-T
2021-02-21T13:13:44.582Z	516
2021-02-21T13:13:46.582Z	518
2021-02-21T13:13:48.582Z	520
2021-02-21T13:13:50.583Z	522
2021-02-21T13:13:52.584Z	524
2021-02-21T13:13:54.584Z	526
2021-02-21T13:13:56.585Z	527
2021-02-21T13:13:58.585Z	529
2021-02-21T13:14:00.586Z	531
2021-02-21T13:14:02.586Z	533
2021-02-21T13:14:04.586Z	535
2021-02-21T13:14:06.587Z	537
2021-02-21T13:14:08.587Z	538
2021-02-21T13:14:10.589Z	541
2021-02-21T13:14:12.589Z	542
2021-02-21T13:14:14.589Z	544
2021-02-21T13:14:16.590Z	546
2021-02-21T13:14:18.590Z	547
2021-02-21T13:14:20.590Z	550
2021-02-21T13:14:22.591Z	552
2021-02-21T13:14:24.591Z	553
2021-02-21T13:14:26.593Z	555
2021-02-21T13:14:28.594Z	557
2021-02-21T13:14:30.594Z	559
2021-02-21T13:14:32.593Z	561
2021-02-21T13:14:34.594Z	562
2021-02-21T13:14:36.595Z	564
2021-02-21T13:14:38.596Z	566
2021-02-21T13:14:40.598Z	568
2021-02-21T13:14:42.598Z	570
2021-02-21T13:14:44.597Z	572
2021-02-21T13:14:46.597Z	573
2021-02-21T13:14:48.597Z	576
2021-02-21T13:14:50.598Z	577
2021-02-21T13:14:52.598Z	579
2021-02-21T13:14:54.599Z	581
2021-02-21T13:14:56.599Z	582
2021-02-21T13:14:58.600Z	585
2021-02-21T13:15:00.600Z	586
2021-02-21T13:15:02.601Z	588
2021-02-21T13:15:04.601Z	590
2021-02-21T13:15:06.601Z	591
2021-02-21T13:15:08.602Z	594
2021-02-21T13:15:10.601Z	595
2021-02-21T13:15:12.603Z	597
2021-02-21T13:15:14.603Z	599
2021-02-21T13:15:16.603Z	601
2021-02-21T13:15:18.604Z	603
2021-02-21T13:15:20.603Z	604
2021-02-21T13:15:22.604Z	606
2021-02-21T13:15:24.605Z	608
2021-02-21T13:15:26.604Z	610
2021-02-21T13:15:28.605Z	612
2021-02-21T13:15:30.606Z	613
2021-02-21T13:15:32.606Z	615
2021-02-21T13:15:34.607Z	617
2021-02-21T13:15:36.608Z	619
2021-02-21T13:15:38.608Z	621
2021-02-21T13:15:40.609Z	622
2021-02-21T13:15:42.610Z	624
2021-02-21T13:15:44.610Z	626
2021-02-21T13:15:46.612Z	628
2021-02-21T13:15:48.612Z	630
2021-02-21T13:15:50.612Z	631
